reference_id,status,ledger_amount,gateway_amount
TXN100251,MISSING_IN_GATEWAY,3401654,
TXN100252,AMOUNT_MISMATCH,3930752,3930889
TXN100260,MISSING_IN_GATEWAY,2841159,
TXN100266,MISSING_IN_GATEWAY,585612,
TXN100267,AMOUNT_MISMATCH,270298,270002
TXN100272,MISSING_IN_GATEWAY,2159527,
TXN100274,MISSING_IN_GATEWAY,970771,
TXN100275,DUPLICATE_IN_GATEWAY,1383767,1383767
TXN100281,MISSING_IN_GATEWAY,2539858,
TXN100282,MISSING_IN_GATEWAY,4757386,
TXN100286,MISSING_IN_GATEWAY,3533708,
TXN100287,DUPLICATE_IN_GATEWAY,3646657,3646657
TXN100288,MISSING_IN_GATEWAY,3866573,
TXN100290,DUPLICATE_IN_GATEWAY,4386728,4386728
TXN100292,MISSING_IN_GATEWAY,4524521,
TXN100295,MISSING_IN_GATEWAY,2069362,
TXN100296,AMOUNT_MISMATCH,2349819,2349568
TXN100299,MISSING_IN_GATEWAY,4156543,
TXN100303,AMOUNT_MISMATCH,4343783,4343370
TXN100304,MISSING_IN_GATEWAY,2034641,
TXN100313,DUPLICATE_IN_GATEWAY,3579384,3579384
TXN100318,AMOUNT_MISMATCH,4505152,4505358
TXN100321,DUPLICATE_IN_GATEWAY,4955813,4955813
TXN100323,MISSING_IN_GATEWAY,853274,
TXN100327,DUPLICATE_IN_GATEWAY,391813,391813
TXN100339,AMOUNT_MISMATCH,4731440,4731027
TXN100342,MISSING_IN_GATEWAY,1903200,
TXN100345,DUPLICATE_IN_GATEWAY,4946906,4946906
TXN100348,AMOUNT_MISMATCH,842431,842143
TXN100356,MISSING_IN_GATEWAY,2381613,
TXN100358,AMOUNT_MISMATCH,1968100,1968406
TXN100362,AMOUNT_MISMATCH,1259813,1260159
TXN100364,MISSING_IN_GATEWAY,1401861,
TXN100367,AMOUNT_MISMATCH,3386486,3386498
TXN100370,MISSING_IN_GATEWAY,3634119,
TXN100372,DUPLICATE_IN_GATEWAY,1930357,1930357
TXN100374,DUPLICATE_IN_GATEWAY,184025,184025
TXN100377,AMOUNT_MISMATCH,3719689,3719374
TXN100379,DUPLICATE_IN_GATEWAY,4134894,4134894
TXN100382,MISSING_IN_GATEWAY,887447,
TXN100385,MISSING_IN_GATEWAY,3369236,
TXN100388,DUPLICATE_IN_GATEWAY,982420,982420
TXN100389,AMOUNT_MISMATCH,3400466,3400810
TXN100399,MISSING_IN_GATEWAY,2017372,
TXN100402,DUPLICATE_IN_GATEWAY,1894925,1894925
TXN100408,DUPLICATE_IN_GATEWAY,4057499,4057499
TXN100411,MISSING_IN_GATEWAY,4273433,
TXN100412,AMOUNT_MISMATCH,1155114,1154896
TXN100416,MISSING_IN_GATEWAY,2514467,
TXN100417,AMOUNT_MISMATCH,4117400,4117357
TXN100421,AMOUNT_MISMATCH,2709264,2709478
TXN100423,MISSING_IN_GATEWAY,1969263,
TXN100425,MISSING_IN_GATEWAY,3977612,
TXN100430,AMOUNT_MISMATCH,851919,851869
TXN100437,MISSING_IN_GATEWAY,2766207,
TXN100438,AMOUNT_MISMATCH,3197749,3197890
TXN100439,AMOUNT_MISMATCH,4103200,4102736
TXN100441,DUPLICATE_IN_GATEWAY,2420709,2420709
TXN100443,MISSING_IN_GATEWAY,835800,
TXN100445,AMOUNT_MISMATCH,2522103,2521650
TXN100446,MISSING_IN_GATEWAY,2731051,
TXN100457,AMOUNT_MISMATCH,88831,88807
TXN100460,DUPLICATE_IN_GATEWAY,2908814,2908814
TXN100463,MISSING_IN_GATEWAY,3842216,
TXN100464,MISSING_IN_GATEWAY,3237040,
TXN100469,AMOUNT_MISMATCH,4757356,4757652
TXN100470,AMOUNT_MISMATCH,421412,421675
TXN100471,MISSING_IN_GATEWAY,4176850,
TXN100478,MISSING_IN_GATEWAY,3070677,
TXN100479,AMOUNT_MISMATCH,766093,765927
TXN100481,MISSING_IN_GATEWAY,1118636,
TXN100483,MISSING_IN_GATEWAY,2296125,
TXN100484,DUPLICATE_IN_GATEWAY,4052032,4052032
TXN100485,MISSING_IN_GATEWAY,2485825,
TXN100486,MISSING_IN_GATEWAY,2851349,
TXN100488,AMOUNT_MISMATCH,1902593,1902834
TXN100489,DUPLICATE_IN_GATEWAY,3343729,3343729
TXN100499,AMOUNT_MISMATCH,3904558,3904367
TXN100501,AMOUNT_MISMATCH,390396,390207
TXN100503,AMOUNT_MISMATCH,1979645,1979283
TXN100506,AMOUNT_MISMATCH,1306232,1306402
TXN100507,MISSING_IN_GATEWAY,840653,
TXN100510,AMOUNT_MISMATCH,3740379,3740754
TXN100515,AMOUNT_MISMATCH,1034749,1035092
TXN100520,MISSING_IN_GATEWAY,1066326,
TXN100521,MISSING_IN_GATEWAY,585543,
TXN100524,MISSING_IN_GATEWAY,1247774,
TXN100525,MISSING_IN_GATEWAY,2335949,
TXN100529,MISSING_IN_GATEWAY,3015154,
TXN100532,MISSING_IN_GATEWAY,1073327,
TXN100537,AMOUNT_MISMATCH,1868494,1868038
TXN100540,MISSING_IN_GATEWAY,4027991,
TXN100550,MISSING_IN_GATEWAY,841969,
TXN100551,MISSING_IN_GATEWAY,4634935,
TXN100557,AMOUNT_MISMATCH,3149864,3150067
TXN100560,MISSING_IN_GATEWAY,820041,
TXN100561,MISSING_IN_GATEWAY,3135988,
TXN100565,AMOUNT_MISMATCH,3557851,3558089
TXN100566,DUPLICATE_IN_GATEWAY,441560,441560
TXN100570,MISSING_IN_GATEWAY,1891102,
TXN100573,MISSING_IN_GATEWAY,3609655,
TXN100576,MISSING_IN_GATEWAY,2302358,
TXN100577,AMOUNT_MISMATCH,2601951,2601810
TXN100585,MISSING_IN_GATEWAY,2731120,
TXN100592,MISSING_IN_GATEWAY,1818323,
TXN100597,DUPLICATE_IN_GATEWAY,3325709,3325709
TXN100599,AMOUNT_MISMATCH,2538488,2538773
TXN100600,MISSING_IN_GATEWAY,1161208,
TXN100608,AMOUNT_MISMATCH,3866698,3867080
TXN100614,MISSING_IN_GATEWAY,3869572,
TXN100619,MISSING_IN_GATEWAY,2612771,
TXN100623,AMOUNT_MISMATCH,1636582,1636439
TXN100624,MISSING_IN_GATEWAY,2955238,
TXN100630,MISSING_IN_GATEWAY,4738955,
TXN100633,AMOUNT_MISMATCH,2721267,2721409
TXN100636,MISSING_IN_GATEWAY,2550241,
TXN100640,MISSING_IN_GATEWAY,3103195,
TXN100649,DUPLICATE_IN_GATEWAY,2890964,2890964
TXN100652,DUPLICATE_IN_GATEWAY,3682182,3682182
TXN100657,MISSING_IN_GATEWAY,449273,
TXN100667,MISSING_IN_GATEWAY,2765461,
TXN100671,AMOUNT_MISMATCH,1522154,1522003
TXN100674,MISSING_IN_GATEWAY,2491283,
TXN100675,MISSING_IN_GATEWAY,4268809,
TXN100677,AMOUNT_MISMATCH,2834984,2835116
TXN100680,MISSING_IN_GATEWAY,1398643,
TXN100682,DUPLICATE_IN_GATEWAY,2002547,2002547
TXN100683,MISSING_IN_GATEWAY,2400148,
TXN100686,AMOUNT_MISMATCH,3944388,3944086
TXN100688,DUPLICATE_IN_GATEWAY,4795024,4795024
TXN100689,MISSING_IN_GATEWAY,3882852,
TXN100691,DUPLICATE_IN_GATEWAY,3521981,3521981
TXN100692,MISSING_IN_GATEWAY,1685185,
TXN100694,AMOUNT_MISMATCH,4041486,4041553
TXN100695,MISSING_IN_GATEWAY,870585,
TXN100696,MISSING_IN_GATEWAY,4337761,
TXN100697,MISSING_IN_GATEWAY,713595,
TXN100701,MISSING_IN_GATEWAY,1872589,
TXN100707,MISSING_IN_GATEWAY,841169,
TXN100709,AMOUNT_MISMATCH,2416518,2416501
TXN100710,MISSING_IN_GATEWAY,1174277,
TXN100712,AMOUNT_MISMATCH,54050,53569
TXN100731,AMOUNT_MISMATCH,3285363,3284907
TXN100732,DUPLICATE_IN_GATEWAY,3255395,3255395
TXN100733,MISSING_IN_GATEWAY,2137772,
TXN100734,MISSING_IN_GATEWAY,3005520,
TXN100735,MISSING_IN_GATEWAY,2032710,
TXN100736,MISSING_IN_GATEWAY,879595,
TXN100739,MISSING_IN_GATEWAY,1478754,
TXN100744,AMOUNT_MISMATCH,1683274,1683097
TXN100747,MISSING_IN_GATEWAY,317197,
TXN100749,AMOUNT_MISMATCH,411009,410848
TXN100752,MISSING_IN_GATEWAY,3365625,
TXN100757,MISSING_IN_GATEWAY,702995,
TXN100765,MISSING_IN_GATEWAY,365300,
TXN100770,AMOUNT_MISMATCH,1352065,1351711
TXN100780,DUPLICATE_IN_GATEWAY,2103894,2103894
TXN100781,MISSING_IN_GATEWAY,227376,
TXN100784,MISSING_IN_GATEWAY,2193468,
TXN100785,DUPLICATE_IN_GATEWAY,1809947,1809947
TXN100788,MISSING_IN_GATEWAY,1148572,
TXN100789,AMOUNT_MISMATCH,1458346,1458301
TXN100790,MISSING_IN_GATEWAY,746442,
TXN100791,MISSING_IN_GATEWAY,2924414,
TXN100793,MISSING_IN_GATEWAY,2526218,
TXN100795,DUPLICATE_IN_GATEWAY,1028062,1028062
TXN100799,MISSING_IN_GATEWAY,3930884,
TXN100802,DUPLICATE_IN_GATEWAY,3350007,3350007
TXN100804,MISSING_IN_GATEWAY,3444577,
TXN100805,DUPLICATE_IN_GATEWAY,1061317,1061317
TXN100809,MISSING_IN_GATEWAY,1536417,
TXN100811,MISSING_IN_GATEWAY,474836,
TXN100815,AMOUNT_MISMATCH,4362830,4363196
TXN100822,MISSING_IN_GATEWAY,2842158,
TXN100823,MISSING_IN_GATEWAY,355562,
TXN100826,MISSING_IN_GATEWAY,1778388,
TXN100836,AMOUNT_MISMATCH,2632132,2631958
TXN100837,DUPLICATE_IN_GATEWAY,2907178,2907178
TXN100838,MISSING_IN_GATEWAY,1106945,
TXN100844,AMOUNT_MISMATCH,3232482,3232410
TXN100845,DUPLICATE_IN_GATEWAY,2092642,2092642
TXN100846,MISSING_IN_GATEWAY,1349657,
TXN100851,AMOUNT_MISMATCH,765386,765403
TXN100852,DUPLICATE_IN_GATEWAY,3845528,3845528
TXN100857,MISSING_IN_GATEWAY,78597,
TXN100858,AMOUNT_MISMATCH,1133527,1133771
TXN100859,MISSING_IN_GATEWAY,3078365,
TXN100869,MISSING_IN_GATEWAY,3076928,
TXN100873,MISSING_IN_GATEWAY,2803747,
TXN100878,MISSING_IN_GATEWAY,4265666,
TXN100879,MISSING_IN_GATEWAY,4119131,
TXN100882,DUPLICATE_IN_GATEWAY,929429,929429
TXN100885,DUPLICATE_IN_GATEWAY,2237430,2237430
TXN100895,AMOUNT_MISMATCH,3966113,3966366
TXN100896,MISSING_IN_GATEWAY,532453,
TXN100898,DUPLICATE_IN_GATEWAY,2736713,2736713
TXN100900,AMOUNT_MISMATCH,2641947,2641917
TXN100904,AMOUNT_MISMATCH,1622828,1622613
TXN100906,MISSING_IN_GATEWAY,2506571,
TXN100912,AMOUNT_MISMATCH,3195105,3195009
TXN100913,AMOUNT_MISMATCH,2905199,2905522
TXN100915,AMOUNT_MISMATCH,2422818,2422398
TXN100916,AMOUNT_MISMATCH,2915507,2915678
TXN100917,MISSING_IN_GATEWAY,2161207,
TXN100929,DUPLICATE_IN_GATEWAY,4626691,4626691
TXN100932,MISSING_IN_GATEWAY,1683157,
TXN100934,AMOUNT_MISMATCH,506291,505882
TXN100936,AMOUNT_MISMATCH,322880,322559
TXN100937,AMOUNT_MISMATCH,3515473,3515153
TXN100938,DUPLICATE_IN_GATEWAY,314840,314840
TXN100939,MISSING_IN_GATEWAY,3340231,
TXN100940,AMOUNT_MISMATCH,2438224,2437733
TXN100942,AMOUNT_MISMATCH,910103,909946
TXN100945,MISSING_IN_GATEWAY,1135750,
TXN100950,MISSING_IN_GATEWAY,2837901,
TXN100952,MISSING_IN_GATEWAY,3411499,
TXN100958,AMOUNT_MISMATCH,2249710,2249519
TXN100959,MISSING_IN_GATEWAY,4896034,
TXN100969,MISSING_IN_GATEWAY,3826637,
TXN100971,AMOUNT_MISMATCH,4617312,4617587
TXN100972,MISSING_IN_GATEWAY,4519025,
TXN100975,MISSING_IN_GATEWAY,4440637,
TXN100976,AMOUNT_MISMATCH,665173,664787
TXN100977,MISSING_IN_GATEWAY,528064,
TXN100981,MISSING_IN_GATEWAY,1733032,
TXN100988,MISSING_IN_GATEWAY,2595113,
TXN100990,MISSING_IN_GATEWAY,35295,
TXN100994,AMOUNT_MISMATCH,515460,515030
TXN100997,MISSING_IN_GATEWAY,1146059,
TXN200020,MISSING_IN_LEDGER,,3043614
TXN200024,MISSING_IN_LEDGER,,857261
TXN200034,MISSING_IN_LEDGER,,479241
TXN200035,MISSING_IN_LEDGER,,2656211
TXN200049,MISSING_IN_LEDGER,,3551334
TXN200070,MISSING_IN_LEDGER,,4478663
TXN200085,MISSING_IN_LEDGER,,604394
TXN200090,MISSING_IN_LEDGER,,3424666
TXN200096,MISSING_IN_LEDGER,,926615
TXN200103,MISSING_IN_LEDGER,,792344
TXN200149,MISSING_IN_LEDGER,,379826
TXN200162,MISSING_IN_LEDGER,,3418940
TXN200167,MISSING_IN_LEDGER,,3463700
TXN200170,MISSING_IN_LEDGER,,1875909
TXN200171,MISSING_IN_LEDGER,,3871303
TXN200210,MISSING_IN_LEDGER,,1246094
TXN200230,MISSING_IN_LEDGER,,2336256
TXN200241,MISSING_IN_LEDGER,,3277168
TXN200245,MISSING_IN_LEDGER,,3525005
TXN200247,MISSING_IN_LEDGER,,1860012
TXN200266,MISSING_IN_LEDGER,,347709
TXN200281,MISSING_IN_LEDGER,,1025483
TXN200282,MISSING_IN_LEDGER,,2922556
TXN200286,MISSING_IN_LEDGER,,895324
TXN200295,MISSING_IN_LEDGER,,736981
TXN200299,MISSING_IN_LEDGER,,1535383
TXN200323,MISSING_IN_LEDGER,,2495095
TXN200364,MISSING_IN_LEDGER,,4784854
TXN200382,MISSING_IN_LEDGER,,2776593
TXN200385,MISSING_IN_LEDGER,,4624544
TXN200416,MISSING_IN_LEDGER,,4874749
TXN200423,MISSING_IN_LEDGER,,3455831
TXN200437,MISSING_IN_LEDGER,,4486348
TXN200446,MISSING_IN_LEDGER,,2470947
TXN200463,MISSING_IN_LEDGER,,1681153
TXN200464,MISSING_IN_LEDGER,,904672
TXN200471,MISSING_IN_LEDGER,,2410770
TXN200481,MISSING_IN_LEDGER,,3079035
TXN200483,MISSING_IN_LEDGER,,2165621
TXN200486,MISSING_IN_LEDGER,,3938648
TXN200507,MISSING_IN_LEDGER,,3433524
TXN200520,MISSING_IN_LEDGER,,1731389
TXN200521,MISSING_IN_LEDGER,,4659031
TXN200524,MISSING_IN_LEDGER,,33786
TXN200525,MISSING_IN_LEDGER,,1223730
TXN200529,MISSING_IN_LEDGER,,2005914
TXN200540,MISSING_IN_LEDGER,,3585842
TXN200550,MISSING_IN_LEDGER,,969774
TXN200561,MISSING_IN_LEDGER,,4677176
TXN200570,MISSING_IN_LEDGER,,2946969
TXN200573,MISSING_IN_LEDGER,,4680271
TXN200614,MISSING_IN_LEDGER,,3045440
TXN200636,MISSING_IN_LEDGER,,4971188
TXN200640,MISSING_IN_LEDGER,,653666
TXN200657,MISSING_IN_LEDGER,,2817242
TXN200667,MISSING_IN_LEDGER,,4425707
TXN200674,MISSING_IN_LEDGER,,858430
TXN200692,MISSING_IN_LEDGER,,1170971
TXN200696,MISSING_IN_LEDGER,,2401281
TXN200701,MISSING_IN_LEDGER,,2942532
TXN200707,MISSING_IN_LEDGER,,2822619
TXN200734,MISSING_IN_LEDGER,,2902412
TXN200739,MISSING_IN_LEDGER,,3907539
TXN200788,MISSING_IN_LEDGER,,3802008
TXN200790,MISSING_IN_LEDGER,,2690896
TXN200793,MISSING_IN_LEDGER,,1470381
TXN200799,MISSING_IN_LEDGER,,4637549
TXN200804,MISSING_IN_LEDGER,,628665
TXN200811,MISSING_IN_LEDGER,,4356155
TXN200822,MISSING_IN_LEDGER,,4737970
TXN200823,MISSING_IN_LEDGER,,248014
TXN200846,MISSING_IN_LEDGER,,4855990
TXN200857,MISSING_IN_LEDGER,,3624884
TXN200873,MISSING_IN_LEDGER,,4366478
TXN200878,MISSING_IN_LEDGER,,4475590
TXN200939,MISSING_IN_LEDGER,,1572895
TXN200945,MISSING_IN_LEDGER,,3936042
TXN200950,MISSING_IN_LEDGER,,4772894
TXN200952,MISSING_IN_LEDGER,,4332487
TXN200972,MISSING_IN_LEDGER,,1842169
TXN200977,MISSING_IN_LEDGER,,4250332
